"Data Source","World Development Indicators",

"Last Updated Date","2022-04-27",

"Country Name","Country Code","Indicator Name","Indicator Code","1960","1961","1962","1963","1964","1965","1966","1967","1968","1969","1970","1971","1972","1973","1974","1975","1976","1977","1978","1979","1980","1981","1982","1983","1984","1985","1986","1987","1988","1989","1990","1991","1992","1993","1994","1995","1996","1997","1998","1999","2000","2001","2002","2003","2004","2005","2006","2007","2008","2009","2010","2011","2012","2013","2014","2015","2016","2017","2018","2019","2020","2021",
"Peru","PER","Population ages 15-19, female (% of female population)","SP.POP.1519.FE.5Y","9.56118034891426","9.52511296589548","9.51067637080106","9.52382938587336","9.57600993125129","9.67210113624317","9.76671594382404","9.90890047491408","10.0722660028653","10.2222537263642","10.342064758996","10.4088580307075","10.4504074566403","10.4785363336949","10.513896752353","10.5686565905005","10.6131766382396","10.676359579186","10.7451927084389","10.8024829542672","10.840859713561","10.8485527762745","10.8392399573651","10.8189764475251","10.7984396566054","10.7843722142324","10.7567350184678","10.7341991321977","10.7104167551223","10.6777610534867","10.63475645364","10.5611702468329","10.4795173373492","10.3946868895924","10.3170061880261","10.2559780421358","10.2240118165175","10.2006644011859","10.1852248976325","10.1775077443551","10.1775656738267","10.1854697434278","10.1825543659781","10.1607409562222","10.1200403298664","10.0720994253129","9.9661624822583","9.84706637056328","9.71021064139926","9.55820299932502","9.40636663421004","9.2928301384049","9.17745824786548","9.04504121396434","8.8904023020322","8.72505945281115","8.65111469698065","8.46273309580846","8.17279585420512","7.85173968741774","7.57425312958771","",
"Peru","PER","Female headed households (% of households with a female head)","SP.HOU.FEMA.ZS","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","15.2","","","","18","","","","19.5","","","","","","22.2","","23.2","23.8","23.9","26","25.7","","","","","","","","","",
"Peru","PER","Mortality rate, adult, female (per 1,000 female adults)","SP.DYN.AMRT.FE","291.233","285.333","279.433","274.61","269.786","264.962","260.138","255.314","247.337","239.359","231.381","223.403","215.426","209.658","203.891","198.124","192.356","186.589","183.253","179.918","176.582","173.246","169.91","166.941","163.972","161.003","158.034","155.065","152.721","150.377","148.034","145.69","143.346","140.412","137.478","134.544","131.61","128.676","126.071","123.465","120.86","118.254","115.649","113.693","111.738","109.782","107.827","105.871","104.472","103.074","101.675","100.277","98.878","97.5","96.121","94.743","93.364","91.986","84.815","83.574","82.333","",
"Peru","PER","Unemployment, total (% of total labor force) (national estimate)","SL.UEM.TOTL.NE.ZS","","","","","","","","","","5.90000009536743","4.84000015258789","4.57000017166138","4.40000009536743","4.23000001907349","4","4.92000007629395","5.19999980926514","5.82000017166138","6.5","7.11999988555908","6.96999979019165","6.76999998092651","6.98000001907349","9.19999980926514","10.5","11.789999961853","5.32000017166138","3.63000011444092","","7.92000007629395","8.60000038146973","5.80000019073486","9.39999961853027","9.86999988555908","","","7.07000017166138","7.69000005722046","7.75","7.98999977111816","7.80000019073486","7.88000011444092","4.84000015258789","4.15000009536743","4.71000003814697","4.86999988555908","4.17000007629395","4.07999992370605","4.03000020980835","3.96000003814697","3.59999990463257","3.48000001907349","3.24000000953674","3.5699999332428","3.21000003814697","3.26999998092651","3.74000000953674","3.69000005722046","3.49000000953674","3.38000011444092","7.44999980926514","",
"Peru","PER","Unemployment with advanced education, female (% of female labor force with advanced education)","SL.UEM.ADVN.FE.ZS","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","8.67000007629395","9.57999992370605","11.1400003433228","8.63000011444092","9.5600004196167","6.80999994277954","5.8899998664856","8.51000022888184","8.11999988555908","6.65000009536743","6","6.21999979019165","4.30000019073486","5.73000001907349","4.78999996185303","3.58999991416931","4.59000015258789","4.17999982833862","4.46000003814697","4.42999982833862","4.8899998664856","5.80999994277954","4.28999996185303","9.3100004196167","",
"Peru","PER","Labor force participation rate, total (% of total population ages 15+) (national estimate)","SL.TLF.CACT.NE.ZS","","54.2200012207031","","","","","","","","","","","49.9099998474121","","","","","","","55.2200012207031","55.189998626709","51.939998626709","55.2000007629395","","55.2400016784668","33.2799987792969","61.8699989318848","61.2200012207031","33.9000015258789","61.2900009155273","61.5","57.2599983215332","58.9000015258789","51.1699981689453","60.7799987792969","62.9199981689453","","65.6900024414063","66.8499984741211","68.1600036621094","65.7799987792969","68.7900009155273","77.9499969482422","70.3600006103516","75.75","73.1100006103516","76.1399993896484","78.2300033569336","78.2200012207031","78.5800018310547","79.2399978637695","78.6500015258789","78.4599990844727","77.8600006103516","77.0599975585938","75.9000015258789","75.379997253418","77","77.1800003051758","77.3600006103516","65.25","",
"Peru","PER","Labor force participation rate for ages 15-24, total (%) (modeled ILO estimate)","SL.TLF.ACTI.1524.ZS","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","45.3870010375977","45.3440017700195","45.2890014648438","46.625","47.9640007019043","51.7109985351563","52.2150001525879","52.7290000915527","54.7789993286133","56.8819999694824","52.2130012512207","55.2150001525879","57.8370018005371","60.4119987487793","62.9269981384277","65.3730010986328","67.2649993896484","68.5329971313477","69.3219985961914","69.2789993286133","69.8919982910156","68.6790008544922","67.1640014648438","65.6949996948242","64.0100021362305","60.4739990234375","61.6510009765625","61.9480018615723","61.7239990234375","61.8380012512207","50.1370010375977","",
"Peru","PER","Average working hours of children, study and work, male, ages 7-14 (hours per week)","SL.TLF.0714.SW.MA.TM","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","11.1643298525634","","","","","","",
"Peru","PER","Child employment in manufacturing, female (% of female economically active children ages 7-14)","SL.MNF.0714.FE.ZS","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","2.46","","","","","","","5.47","","","","","","","","","","","","","","",
"Peru","PER","Vulnerable employment, female (% of female employment) (modeled ILO estimate)","SL.EMP.VULN.FE.ZS","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","65.9799995422363","65.5799999237061","65.3099975585937","65.2400016784668","64.8400001525879","64.5000019073486","64.2100009918213","64.1400012969971","63.7899990081787","63.9400005340576","63.3800010681152","63.0699996948242","65.189998626709","64.3500022888184","63.9699993133545","62.3299999237061","60.4600009918213","60.0599994659424","60.2200012207031","60.1900005340576","59.5300006866455","58.4400005340576","58.4099998474122","58.5999984741211","57.6600017547607","57.9700012207031","58.1699981689453","58.3699989318848","58.6800003051758","","",
